team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
CIN,2019,282,30,5511,3994,1517,18,10,191,85,16,12,11,31,-7,0.051,0.028,0
CLE,2019,344,12,5828,3903,1925,23,16,181,92,21,6,14,38,0,0.059,0.043,0
DAL,2019,428,0,7055,4902,2153,30,18,229,120,11,7,7,39,2,0.061,0.046,1
DEN,2019,289,6,5063,3401,1662,16,13,162,77,10,7,10,40,3,0.057,0.032,0
DET,2019,331,12,5836,4187,1649,28,8,196,82,15,8,7,28,-2,0.057,0.037,0
GB,2019,376,0,5812,4017,1795,26,18,190,90,4,8,17,41,19,0.065,0.045,1
HOU,2019,367,6,6092,4083,2009,27,17,203,112,14,7,12,31,6,0.06,0.046,0
IND,2019,346,18,5444,3314,2130,22,18,165,131,10,11,15,41,7,0.064,0.041,0
JAX,2019,290,12,5731,4023,1708,24,3,183,85,8,14,10,47,2,0.051,0.028,0
KC,2019,432,6,6259,4690,1569,30,17,211,93,5,10,16,45,15,0.069,0.05,1
LA,2019,373,30,6168,4669,1499,22,20,222,92,17,8,13,50,1,0.06,0.041,0
LAC,2019,334,18,6101,4648,1453,24,12,220,90,20,9,11,30,-13,0.055,0.038,0
LV,2019,304,18,6003,4110,1893,22,13,194,104,8,9,9,32,1,0.051,0.037,0
MIA,2019,300,12,5269,4117,1152,22,11,210,64,18,7,13,23,-2,0.057,0.035,0
MIN,2019,393,0,5862,3729,2133,26,19,171,106,8,12,17,48,16,0.067,0.048,1
NE,2019,380,24,5856,4153,1703,25,17,197,110,9,8,25,47,23,0.065,0.04,1
NO,2019,432,0,6169,4431,1738,36,12,230,97,6,2,13,51,16,0.07,0.049,1
NYG,2019,331,24,5755,4070,1685,30,12,187,89,17,16,10,36,-15,0.058,0.044,0
NYJ,2019,239,18,4700,3443,1257,19,6,162,61,16,9,12,35,-4,0.051,0.028,0
PHI,2019,367,0,6002,4063,1939,27,16,215,104,8,13,11,43,6,0.061,0.04,0
PIT,2019,267,12,4661,3214,1447,18,7,147,75,19,11,20,54,13,0.057,0.028,0
SEA,2019,398,30,6310,4110,2200,31,16,190,121,6,16,16,28,13,0.063,0.047,1
SF,2019,452,18,6334,4029,2305,28,23,195,110,13,12,12,48,7,0.071,0.053,1
TB,2019,429,42,6648,5127,1521,33,15,244,81,30,11,12,47,-9,0.065,0.047,1
TEN,2019,376,0,6179,3956,2223,29,21,177,104,8,8,14,43,9,0.061,0.056,1
WAS,2019,269,18,4788,3205,1583,18,10,154,74,13,8,13,46,8,0.056,0.034,0
ARI,2020,411,18,6339,4102,2237,27,22,211,136,13,10,11,48,1,0.065,0.047,1
ATL,2020,390,0,6152,4620,1532,27,13,243,86,11,7,12,29,11,0.063,0.039,0
BAL,2020,448,12,5989,2919,3070,27,25,142,166,11,8,10,39,14,0.075,0.055,1
BUF,2020,477,0,6509,4786,1723,40,16,240,119,11,10,15,38,8,0.073,0.056,1
CAR,2020,339,6,5833,4129,1704,16,20,192,110,16,7,7,29,-3,0.058,0.038,0
CHI,2020,366,12,5572,3925,1647,26,13,218,93,16,7,10,35,1,0.066,0.039,0
CIN,2020,313,12,5461,3793,1668,19,14,201,92,11,12,11,17,-1,0.057,0.034,0
CLE,2020,393,6,6073,3701,2372,27,21,195,133,8,8,11,38,13,0.065,0.049,0
DAL,2020,386,18,6299,4511,1788,25,15,231,115,13,14,10,31,-3,0.061,0.038,0
DEN,2020,320,18,5591,3673,1918,21,13,176,94,23,10,10,42,-12,0.057,0.035,0
DET,2020,372,18,5896,4397,1499,27,17,220,93,13,7,7,24,4,0.063,0.047,0
GB,2020,508,6,6417,4299,2118,48,18,216,114,5,5,11,41,14,0.079,0.068,1
HOU,2020,379,6,6309,4843,1466,33,10,222,83,7,9,3,34,-2,0.06,0.049,0
IND,2020,417,12,6182,4186,1996,24,21,201,129,11,4,15,40,12,0.067,0.045,1
JAX,2020,288,0,5474,3955,1519,25,9,205,80,16,9,12,18,-5,0.053,0.036,0
KC,2020,453,0,6792,5005,1787,40,14,255,110,7,8,16,32,13,0.067,0.053,1
LA,2020,355,18,6201,4183,2018,20,20,206,123,14,9,14,53,6,0.057,0.038,0
LAC,2020,388,0,6332,4548,1784,31,15,226,111,10,6,12,27,2,0.061,0.042,0
LV,2020,437,18,6299,4383,1916,28,20,206,121,10,17,10,21,-8,0.069,0.048,1
MIA,2020,399,6,5625,3937,1688,24,17,207,100,13,7,18,41,15,0.071,0.042,0
