team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
SF,2014,13,0.054,0.034,302,12,5583,3407,2176,20,12,3,165,104,10,19,11,0,23,16,7,11,0,36,477,470,0.53,0.45,0.59,0.39
TB,2014,-4,0.053,0.034,267,12,4998,3623,1375,21,8,3,162,72,20,29,12,2,14,24,11,14,0,36,511,353,0.62,0.38,0.56,0.42
TEN,2014,-7,0.047,0.03,242,12,5185,3738,1447,20,6,2,159,75,16,21,9,2,12,9,5,6,1,39,497,357,0.61,0.38,0.53,0.45
WAS,2014,-12,0.052,0.038,317,24,6152,4461,1691,18,17,0,186,88,18,31,16,0,7,26,9,15,0,36,529,402,0.6,0.39,0.57,0.42
ARI,2015,15,0.067,0.052,450,6,6692,4775,1917,35,17,6,237,92,13,19,12,0,19,34,13,21,2,36,549,452,0.56,0.41,0.62,0.37
ATL,2015,-3,0.053,0.035,328,6,6208,4602,1606,21,15,3,230,95,17,26,13,0,15,15,8,12,0,19,604,421,0.61,0.38,0.58,0.4
BAL,2015,-13,0.052,0.028,309,30,5927,4449,1478,21,8,2,211,89,21,16,6,0,6,14,9,8,0,37,655,384,0.64,0.35,0.58,0.4
BUF,2015,8,0.06,0.043,361,12,6032,3600,2432,23,19,3,155,122,9,26,9,0,17,16,9,9,1,21,456,512,0.5,0.48,0.61,0.37
CAR,2015,24,0.078,0.055,483,6,6155,3873,2282,35,21,4,197,136,10,14,10,1,24,26,14,20,0,44,491,526,0.5,0.48,0.65,0.34
CHI,2015,-8,0.061,0.036,345,24,5697,3843,1854,21,14,0,177,108,12,24,11,0,8,14,7,7,0,35,511,470,0.54,0.45,0.56,0.43
CIN,2015,13,0.07,0.051,416,18,5909,4104,1805,31,18,1,191,99,9,17,9,0,21,11,6,10,0,42,496,468,0.53,0.45,0.66,0.33
CLE,2015,-2,0.048,0.028,274,12,5685,4156,1529,20,7,2,192,81,12,27,16,0,11,19,12,15,0,29,597,380,0.64,0.36,0.54,0.44
DAL,2015,-20,0.048,0.026,266,30,5567,3677,1890,16,8,1,175,94,22,19,11,0,8,11,3,5,1,31,506,408,0.58,0.41,0.54,0.44
DEN,2015,0,0.054,0.032,320,18,5934,4216,1718,19,13,5,201,85,23,18,10,1,14,24,11,19,1,52,583,412,0.61,0.38,0.6,0.38
DET,2015,3,0.059,0.041,343,6,5798,4463,1335,33,7,2,236,71,14,16,9,0,9,25,10,17,2,43,618,356,0.66,0.33,0.57,0.41
GB,2015,12,0.063,0.04,359,18,5675,3825,1850,31,9,2,173,100,8,24,9,1,16,19,6,13,0,43,565,437,0.59,0.4,0.58,0.41
HOU,2015,6,0.056,0.033,324,18,5810,4079,1731,29,7,3,210,90,12,24,10,0,14,18,9,14,0,45,607,473,0.58,0.4,0.61,0.38
IND,2015,2,0.06,0.035,320,6,5366,3928,1438,26,9,5,195,77,19,18,10,0,17,21,9,14,1,35,600,396,0.62,0.36,0.58,0.41
JAX,2015,-4,0.061,0.042,359,42,5901,4428,1473,35,5,3,215,69,18,22,10,0,9,19,9,15,0,36,589,354,0.65,0.34,0.58,0.4
KC,2015,23,0.067,0.043,369,12,5537,3493,2044,20,19,6,155,116,7,14,7,0,22,20,8,15,1,47,466,436,0.55,0.44,0.63,0.36
LA,2015,11,0.054,0.031,263,18,4887,2931,1956,11,17,3,126,92,11,20,10,0,13,30,13,19,1,41,462,430,0.53,0.45,0.58,0.4
LAC,2015,-4,0.051,0.032,319,30,6213,4855,1358,30,4,1,230,79,13,19,11,1,11,15,9,9,0,32,654,393,0.64,0.35,0.56,0.42
LV,2015,2,0.063,0.043,352,18,5586,4129,1457,34,7,1,193,74,14,28,12,2,14,16,9,14,2,38,591,370,0.63,0.35,0.63,0.36
MIA,2015,4,0.05,0.038,288,12,5727,4231,1496,24,11,3,194,72,12,21,6,4,13,14,4,9,0,31,576,345,0.65,0.34,0.53,0.45
MIN,2015,5,0.062,0.037,341,0,5457,3246,2211,14,20,3,153,113,9,24,9,1,13,15,8,10,0,43,445,475,0.51,0.47,0.59,0.39
NE,2015,22,0.075,0.052,465,12,6216,4812,1404,36,16,2,229,87,7,14,5,0,12,27,11,22,1,49,622,383,0.63,0.35,0.62,0.37
NO,2015,9,0.058,0.046,390,12,6696,5205,1491,32,16,1,247,98,12,18,7,0,9,28,14,19,0,31,655,399,0.64,0.35,0.58,0.41
NYG,2015,10,0.064,0.041,391,18,6109,4500,1609,36,6,4,208,77,14,25,8,0,15,26,12,17,1,23,609,405,0.62,0.38,0.6,0.39
NYJ,2015,5,0.067,0.045,407,12,6038,4170,1868,33,14,0,210,99,16,19,10,0,18,20,10,13,0,39,588,448,0.58,0.41,0.63,0.36
PHI,2015,0,0.056,0.037,342,18,6084,4341,1743,23,16,4,193,110,18,27,14,0,15,21,9,17,1,37,605,442,0.6,0.39,0.58,0.4
PIT,2015,7,0.062,0.044,405,0,6546,4822,1724,26,16,2,207,91,21,11,6,0,17,31,14,17,0,48,569,388,0.62,0.36,0.64,0.35
SEA,2015,17,0.064,0.047,407,12,6329,4061,2268,34,12,3,190,128,8,20,7,1,14,20,10,18,0,37,481,502,0.52,0.46,0.62,0.37
SF,2015,0,0.045,0.025,234,12,5190,3646,1544,16,7,1,154,83,12,19,3,2,9,12,5,6,0,28,514,390,0.6,0.39,0.53,0.44
TB,2015,4,0.053,0.035,327,18,6204,4042,2162,22,12,3,201,99,15,20,11,0,11,29,13,19,0,38,520,455,0.55,0.44,0.55,0.43
TEN,2015,-15,0.055,0.04,298,30,5378,3893,1485,25,11,2,195,66,17,26,18,0,11,15,6,9,0,39,534,372,0.62,0.37,0.54,0.44
WAS,2015,14,0.064,0.043,376,12,5860,4294,1566,30,12,2,208,81,11,26,9,2,11,36,18,23,1,38,544,429,0.58,0.41,0.6,0.4
ARI,2016,5,0.065,0.047,399,18,6157,4425,1732,28,20,3,229,97,17,29,13,0,14,28,12,21,2,48,629,399,0.63,0.36,0.58,0.4
ATL,2016,17,0.074,0.061,512,12,6888,4960,1928,38,20,5,239,108,7,9,5,0,12,20,9,17,0,34,530,423,0.58,0.41,0.65,0.34
BAL,2016,12,0.058,0.03,335,0,5806,4343,1463,20,11,1,205,79,16,16,5,2,18,27,11,15,0,31,663,367,0.65,0.33,0.61,0.38
BUF,2016,11,0.066,0.049,387,0,5880,3250,2630,17,30,3,155,146,7,20,5,1,12,18,6,11,0,39,467,494,0.51,0.48,0.54,0.44
CAR,2016,6,0.062,0.038,359,24,5776,3962,1814,21,17,3,194,99,19,13,9,1,17,20,11,17,1,47,544,454,0.57,0.42,0.64,0.35
CHI,2016,-12,0.045,0.033,267,12,5874,4139,1735,19,11,2,212,93,19,26,11,1,8,13,4,10,1,37,540,380,0.6,0.39,0.56,0.42
CIN,2016,10,0.054,0.035,323,0,5975,4206,1769,18,17,0,204,100,8,16,7,1,17,16,5,8,1,33,555,446,0.57,0.42,0.6,0.39
CLE,2016,-10,0.048,0.031,260,12,5405,3693,1712,15,13,1,181,83,14,28,12,2,10,10,2,6,0,26,553,350,0.64,0.35,0.53,0.46
DAL,2016,10,0.068,0.05,421,0,6195,3799,2396,25,24,0,191,142,6,25,10,0,9,25,10,17,0,36,477,499,0.5,0.48,0.66,0.33
DEN,2016,5,0.057,0.032,308,6,5398,3914,1484,20,11,4,181,76,11,21,14,2,14,26,13,16,0,42,559,411,0.6,0.39,0.55,0.43
DET,2016,4,0.058,0.035,325,6,5637,4327,1310,24,9,1,217,76,10,9,4,0,10,11,5,8,2,26,584,350,0.64,0.35,0.6,0.39
GB,2016,11,0.07,0.052,433,6,6146,4445,1701,40,11,0,222,91,8,17,8,0,17,16,8,10,0,40,612,376,0.63,0.35,0.62,0.37
