team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
DEN,4,2021,-1,0.025,0.019,7,23,284,178,106,1,0,0,9,5,1,0,0,0,0,0,0,0,0,3,36,17,0.71,0.29,0.57,0.43
DEN,5,2021,0,0.048,0.036,19,27,394,288,106,2,0,0,14,3,1,0,0,0,0,1,1,1,0,1,37,18,0.69,0.31,0.43,0.56
DEN,6,2021,-4,0.054,0.043,24,34,446,334,112,3,0,0,18,6,3,1,1,0,0,1,0,0,0,2,46,23,0.7,0.3,0.56,0.42
DEN,7,2021,-1,0.061,0.043,14,17,228,187,41,2,0,0,11,3,1,0,0,0,0,0,0,0,0,1,32,14,0.71,0.29,0.51,0.48
DEN,8,2021,1,0.057,0.043,17,10,296,213,83,1,1,0,10,6,0,1,1,0,2,2,0,1,0,5,26,21,0.59,0.41,0.65,0.35
DEN,9,2021,0,0.068,0.043,30,16,439,249,190,1,2,0,9,12,0,2,1,0,1,0,0,0,0,2,28,41,0.45,0.53,0.69,0.31
DEN,10,2021,0,0.043,0.019,14,24,322,226,96,0,1,0,9,5,0,2,1,0,1,2,0,1,0,2,36,18,0.67,0.33,0.39,0.56
DET,1,2021,1,0.075,0.050,34,35,454,338,116,3,1,0,19,8,1,0,0,0,0,2,2,1,0,1,56,24,0.72,0.28,0.47,0.49
DET,2,2021,-2,0.048,0.037,17,35,354,246,108,2,0,0,11,7,1,2,1,0,0,0,0,0,0,3,35,19,0.66,0.34,0.49,0.44
DET,3,2021,1,0.055,0.034,17,19,310,217,93,0,2,0,13,7,0,0,0,0,1,1,0,0,0,4,31,27,0.55,0.45,0.6,0.39
DET,4,2021,-1,0.036,0.032,14,24,389,299,90,2,0,0,15,4,0,3,2,0,1,1,0,1,0,1,38,25,0.63,0.37,0.32,0.65
DET,5,2021,0,0.055,0.017,17,19,311,203,108,0,1,0,11,7,1,1,1,0,1,1,1,1,0,2,34,24,0.62,0.38,0.55,0.44
DET,6,2021,0,0.046,0.017,11,34,238,202,36,0,1,0,12,3,1,0,0,0,1,1,0,1,0,2,41,18,0.69,0.29,0.47,0.49
DET,7,2021,-2,0.045,0.016,19,28,422,285,137,1,0,0,11,7,2,0,0,0,0,0,0,0,0,1,35,28,0.55,0.42,0.69,0.27
DET,8,2021,-1,0.025,0.019,7,38,279,222,57,0,1,0,11,3,0,3,1,0,0,0,0,0,0,0,34,18,0.69,0.31,0.26,0.73
DET,10,2021,3,0.047,0.031,16,16,343,114,229,0,2,0,5,10,0,0,0,0,1,3,2,2,0,0,25,39,0.43,0.57,0.62,0.37
DET,11,2021,0,0.041,0.023,10,13,245,77,168,0,1,0,5,6,2,1,0,0,2,0,0,0,0,1,21,23,0.5,0.5,0.45,0.52
GB,1,2021,-3,0.012,0.000,3,38,244,201,43,0,0,0,9,2,2,1,1,0,0,0,0,0,0,0,33,15,0.71,0.29,0.35,0.62
GB,2,2021,2,0.100,0.086,35,17,351,255,96,4,1,0,16,5,0,0,0,0,1,2,1,0,0,1,27,31,0.49,0.44,0.66,0.34
GB,3,2021,2,0.083,0.052,30,28,361,261,100,2,1,0,13,5,0,1,0,0,1,2,1,0,0,4,33,25,0.54,0.42,0.68,0.32
GB,4,2021,1,0.071,0.043,27,17,379,248,131,2,1,0,13,9,0,1,1,0,1,1,1,1,0,2,36,33,0.54,0.43,0.72,0.28
GB,5,2021,1,0.052,0.033,25,22,477,344,133,2,0,0,16,4,1,0,0,0,2,0,0,0,0,3,38,22,0.63,0.35,0.64,0.36
GB,6,2021,1,0.069,0.056,24,14,349,195,154,2,1,0,10,10,0,0,0,0,1,1,0,0,0,4,23,31,0.46,0.47,0.54,0.46
GB,7,2021,1,0.073,0.060,24,10,331,274,57,3,0,0,16,2,0,2,1,0,1,4,1,4,0,4,35,15,0.72,0.28,0.57,0.4
GB,8,2021,1,0.072,0.042,24,21,335,184,151,2,1,0,10,11,0,2,1,0,2,2,0,1,0,2,37,34,0.53,0.46,0.64,0.36
