team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
MIA,2021,1,1,0.062,0.041,17,16,276,202,74,1,1,0,9,7,1,0,0,0,0,4,2,3,0,1,26,23,0.56,0.38,0.57,0.43
MIA,2021,2,1,0,0,,35,253,182,71,0,0,0,9,2,1,1,1,0,1,3,2,2,0,1,43,20,0.71,0.27,0.53,0.44
MIA,2021,3,1,0.063,0.026,22,30,348,215,133,0,2,1,13,5,0,2,0,1,1,2,0,1,0,3,49,27,0.65,0.34,0.57,0.41
MIA,2021,4,-1,0.073,0.043,17,27,234,199,35,2,0,0,10,2,0,3,2,0,0,1,1,0,0,2,30,16,0.67,0.33,0.51,0.45
MIA,2021,5,-2,0.054,0.043,17,45,314,275,39,2,0,0,13,2,1,1,1,0,0,0,0,0,0,2,38,9,0.82,0.18,0.63,0.31
MIA,2021,6,0,0.046,0.03,20,23,431,354,77,2,0,0,18,4,1,1,0,0,0,1,1,1,0,2,47,20,0.69,0.29,0.69,0.31
MIN,2021,1,-1,0.056,0.042,24,27,429,362,67,2,1,0,16,5,0,1,1,0,0,0,0,0,0,5,50,22,0.69,0.29,0.46,0.53
MIN,2021,2,2,0.064,0.051,27,35,421,244,177,3,0,1,10,11,0,2,0,0,2,1,0,1,0,3,32,27,0.55,0.45,0.65,0.35
MIN,2021,3,0,0.065,0.042,30,17,463,323,140,3,0,0,20,7,0,1,0,0,0,0,0,0,0,2,38,34,0.53,0.47,0.65,0.35
MIN,2021,4,-1,0.026,0.017,7,14,268,203,65,1,0,0,10,4,1,0,0,0,0,0,0,0,0,3,37,23,0.63,0.35,0.49,0.51
MIN,2021,5,0,0.048,0.016,19,17,395,275,120,1,0,0,12,5,1,1,1,0,1,1,1,1,0,4,33,28,0.55,0.44,0.62,0.38
MIN,2021,6,2,0.07,0.059,40,22,571,373,198,3,2,0,16,10,0,3,1,0,1,3,2,3,0,4,48,37,0.56,0.43,0.67,0.32
NE,2021,1,-1,0.039,0.014,16,17,406,281,125,1,0,0,14,8,0,4,2,0,1,0,0,0,0,2,39,30,0.57,0.43,0.56,0.38
NE,2021,2,4,0.087,0.037,25,6,287,186,101,0,2,0,9,6,0,1,0,0,4,0,0,0,0,4,30,24,0.58,0.42,0.54,0.44
NE,2021,3,-3,0.044,0.015,14,22,319,270,49,1,0,0,10,5,3,0,0,0,0,0,0,0,0,3,48,17,0.76,0.24,0.39,0.58
NE,2021,4,-2,0.053,0.041,17,19,319,320,-1,2,0,0,16,1,1,1,1,0,0,0,0,0,0,1,41,8,0.85,0.13,0.59,0.36
NE,2021,5,-1,0.07,0.034,25,22,357,231,126,1,1,0,12,6,1,1,1,0,0,1,1,0,0,3,29,30,0.49,0.49,0.57,0.43
NE,2021,6,0,0.086,0.085,30,29,349,229,120,2,2,0,9,6,1,2,1,0,1,1,1,1,0,0,20,27,0.47,0.49,0.63,0.37
NO,2021,1,3,0.118,0.083,38,3,322,151,171,5,0,0,10,11,0,0,0,0,2,1,1,1,0,2,21,39,0.35,0.62,0.71,0.29
NO,2021,2,-1,0.044,0.027,7,26,159,111,48,0,1,0,3,2,2,0,0,0,1,1,0,0,0,2,20,17,0.6,0.37,0.55,0.45
NO,2021,3,3,0.081,0.051,22,14,270,128,142,2,1,1,9,10,0,0,0,0,3,0,0,0,0,2,21,38,0.39,0.58,0.76,0.24
NO,2021,4,0,0.052,0.047,21,27,405,235,170,1,2,0,12,9,1,0,0,0,1,2,0,2,0,0,25,39,0.4,0.6,0.66,0.34
NO,2021,5,0,0.088,0.096,33,22,377,279,98,4,1,0,12,5,1,1,1,0,2,0,0,0,0,2,29,23,0.58,0.4,0.57,0.43
NO,2021,7,-1,0.041,0.015,13,10,316,222,94,1,0,0,10,7,0,2,1,0,0,0,0,0,0,5,35,31,0.54,0.43,0.49,0.49
NYG,2021,1,0,0.04,0.035,13,27,327,267,60,1,1,0,13,3,0,1,1,0,0,1,1,1,0,2,37,20,0.64,0.32,0.58,0.42
NYG,2021,2,1,0.07,0.033,29,30,412,249,163,1,1,0,10,7,0,0,0,0,1,0,0,0,0,1,32,28,0.56,0.42,0.67,0.32
NYG,2021,3,0,0.038,0.016,14,17,366,266,100,0,1,0,12,7,0,3,1,0,0,1,1,1,0,3,35,28,0.57,0.42,0.66,0.34
NYG,2021,4,0,0.056,0.05,27,21,485,402,83,2,1,0,17,4,1,2,0,0,1,0,0,0,0,0,39,21,0.66,0.34,0.4,0.6
NYG,2021,5,0,0.057,0.032,21,38,367,294,73,1,1,0,15,3,2,1,0,0,1,2,1,1,0,2,37,25,0.61,0.39,0.47,0.53
NYG,2021,6,-2,0.036,0.015,11,38,302,242,60,0,1,0,15,4,3,2,1,0,2,1,0,0,0,2,48,18,0.76,0.24,0.48,0.5
NYJ,2021,1,0,0.046,0.037,14,19,303,258,45,2,0,0,10,4,1,1,0,0,0,1,1,0,0,1,36,18,0.71,0.29,0.57,0.38
NYJ,2021,2,-4,0.017,0,6,25,362,210,152,0,0,0,6,9,4,0,0,0,0,1,0,1,0,3,29,31,0.54,0.44,0.58,0.42
NYJ,2021,3,-1,0,0,,26,203,160,43,0,0,0,10,1,2,0,0,0,0,1,1,1,0,2,33,13,0.75,0.25,0.42,0.56
